SMILES,MolecularFormula,MolecularWeight,IUPACName,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Complexity
CCC1(C(=O)N(C(=O)N1)NC(=O)COC(=O)CCCOC2=CC=CC(=C2)C=O)C,C19H23N3O7,405.4,"[2-[(4-ethyl-4-methyl-2,5-dioxoimidazolidin-1-yl)amino]-2-oxoethyl] 4-(3-formylphenoxy)butanoate",1.1,131,2,7,10,29,654
COC1=C(C=C(C=C1)NC(=O)CCC2=C(C=C(C=C2)Cl)Cl)OC(F)F,C17H15Cl2F2NO3,390.2,"3-(2,4-dichlorophenyl)-N-[3-(difluoromethoxy)-4-methoxyphenyl]propanamide",5.1,47.6,1,5,7,25,431
CCCCC(CC)CSCCCCCCCCCN=[N+]=[N-],C17H35N3S,313.5,1-azido-9-(2-ethylhexylsulfanyl)nonane,8,39.7,0,3,16,21,252
CC(=N)/C=C(\C(=O)N)/Br,C5H7BrN2O,191.03,(E)-2-bromo-4-iminopent-2-enamide,0.1,66.9,2,2,2,9,174
CC1=CC2=C(N=C(N=C2S1)N)OCC3=CC=CC=C3,C14H13N3OS,271.34,"6-methyl-4-phenylmethoxythieno[2,3-d]pyrimidin-2-amine",3.4,89.3,1,5,3,19,298
CC[C@@H]1CC1(C)C(C[C@H](C)CN)CC(C)CC,C16H33N,239.44,"(2S)-4-[(2R)-2-ethyl-1-methylcyclopropyl]-2,6-dimethyloctan-1-amine",5.4,26,1,1,8,17,226
CNC1=C(C=CC(=C1)N2C3=CC=CC=C3C4=CC=CC=C42)C5=CC6=CC(=NC7=NC=NC(=N5)N67)C8=C(C=C(C=C8)N9C1=CC=CC=C1C1=CC=CC=C19)NC,C46H33N9,711.8,"5-carbazol-9-yl-2-[11-[4-carbazol-9-yl-2-(methylamino)phenyl]-2,4,6,12,13-pentazatricyclo[7.3.1.05,13]trideca-1,3,5,7,9,11-hexaen-7-yl]-N-methylaniline",10.3,86.6,2,3,6,55,1500
CC(CO)N(C)C(=O)C1CC=CCC1C(=O)O,C12H19NO4,241.28,6-[1-hydroxypropan-2-yl(methyl)carbamoyl]cyclohex-3-ene-1-carboxylic acid,0.1,77.8,2,4,4,17,326
CCCC1CCC(CC1)C(CC2=C(C=CC(=C2)Cl)Cl)NN,C17H26Cl2N2,329.3,"[2-(2,5-dichlorophenyl)-1-(4-propylcyclohexyl)ethyl]hydrazine",6,38.1,2,2,6,21,293
CCC1[C-]=C(C(=C1CC)CC)CC.CCC1[C-]=C(C(=C1CC)CC)CC.C[Si](=[Zr+2])C.C[Si](=[Zr+2])C.C1C=CC=[C-]1.C1C=CC=[C-]1.[Cl-].[Cl-],C40H64Cl2Si2Zr2-2,854.5,"bis(cyclopenta-1,3-diene);bis(dimethylsilylidenezirconium(2+));bis(1,2,3,5-tetraethylcyclopenta-1,3-diene);dichloride",,0,0,6,8,46,448
CCC1=C(C(=C(C=C1OCC=C)OCC=C)C2=CC=CS2)CCOCCO,C22H28O4S,388.5,"2-[2-[2-ethyl-3,5-bis(prop-2-enoxy)-6-thiophen-2-ylphenyl]ethoxy]ethanol",4.7,76.2,1,5,13,27,431
CCCOC(=O)C1=CC=C(C=C1)NC(=O)[C@H](C)OC(=O)/C=C/C2=CC=C(C=C2)N3CCCC3=O,C26H28N2O6,464.5,propyl 4-[[(2S)-2-[(E)-3-[4-(2-oxopyrrolidin-1-yl)phenyl]prop-2-enoyl]oxypropanoyl]amino]benzoate,3.7,102,1,6,11,34,750
CCOC1=CC=CC=C1[C@H]2NC3=C(C=C(C=C3)Br)C(=O)N2NC(=O)C4=CC=NC=C4,C22H19BrN4O3,467.3,"N-[(2S)-6-bromo-2-(2-ethoxyphenyl)-4-oxo-1,2-dihydroquinazolin-3-yl]pyridine-4-carboxamide",3.9,83.6,2,5,4,30,615
COC(=O)C1=CC(=C(C=C1N)F)NCCSC,C11H15FN2O2S,258.31,methyl 2-amino-4-fluoro-5-(2-methylsulfanylethylamino)benzoate,2.4,89.7,2,6,6,17,256
CCC1=CC=CC=C1NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)CC2=CC=CC=C2,C23H29N3O3,395.5,(2S)-N-[2-(2-ethylanilino)-2-oxoethyl]-3-methyl-2-[(2-phenylacetyl)amino]butanamide,3.5,87.3,3,3,9,29,543
CC1C2C(C3(CCCCC3C1(C(=O)C4=C(O2)C(=C)OC4=O)C)O)OC(=O)C5=CC=C(C=C5)F,C25H25FO7,456.5,"(7-hydroxy-1,17-dimethyl-12-methylidene-14,16-dioxo-10,13-dioxatetracyclo[7.7.1.02,7.011,15]heptadec-11(15)-en-8-yl) 4-fluorobenzoate",3.8,99.1,1,8,3,33,948
CCOC(=NC(=O)C/C=C/C=C)/C=C/C1=CC=CC=C1,C17H19NO2,269.34,"ethyl (E)-N-[(3E)-hexa-3,5-dienoyl]-3-phenylprop-2-enimidate",4,38.7,0,2,7,20,388
CCNC1=NC2=CC=CC=C2C(=C1)C(=O)NCCSC,C15H19N3OS,289.4,2-(ethylamino)-N-(2-methylsulfanylethyl)quinoline-4-carboxamide,3.4,79.3,2,4,6,20,313
CCCCCCCCCC/C(=C/C(=O)OCCCCCCCN(CCCO)CCOCCCCOC(=O)/C=C(\CCCCC)/CCCCCCCCCC)/CCCCC,C52H99NO6,834.3,7-[3-hydroxypropyl-[2-[4-[(E)-3-pentyltridec-2-enoyl]oxybutoxy]ethyl]amino]heptyl (E)-3-pentyltridec-2-enoate,18.8,85.3,1,7,49,59,965
C1=CC=C(C=C1)C(CC(=O)NCCCN2C=CC=N2)C3=CC=CC=C3,C21H23N3O,333.4,"3,3-diphenyl-N-(3-pyrazol-1-ylpropyl)propanamide",3.2,46.9,1,2,8,25,371
B1(N(B(N2C(N1C3=CC=CC=C3)C(N4C2=NN=N4)(C)C)C)C(C)C)C,C16H25B2N7,337,"7,7,10,12-tetramethyl-9-phenyl-11-propan-2-yl-1,3,4,5,6,9,11-heptaza-10,12-diboratricyclo[6.4.0.02,6]dodeca-2,4-diene",,53.3,0,6,2,25,499
CCN(CC)S(=O)(=O)C1=CC(=C(C=C1)OC)NC(=O)COC2=CC3=C(CCC3)C=C2,C22H28N2O5S,432.5,"N-[5-(diethylsulfamoyl)-2-methoxyphenyl]-2-(2,3-dihydro-1H-inden-5-yloxy)acetamide",3.5,93.3,1,6,9,30,661
CCCNCC1=NN=NN1CCC2=CC=CC=C2C,C14H21N5,259.35,N-[[1-[2-(2-methylphenyl)ethyl]tetrazol-5-yl]methyl]propan-1-amine,2.1,55.6,1,4,7,19,248
CC1=C2C(=CC=C1)C=C(C(=O)N2)[C@H](C3=NN=NN3C4CCCC4)[NH+](C[C@@H]5CCCO5)CC6=CC=CS6,C27H33N6O2S+,505.7,[(R)-(1-cyclopentyltetrazol-5-yl)-(8-methyl-2-oxo-1H-quinolin-3-yl)methyl]-[[(2S)-oxolan-2-yl]methyl]-(thiophen-2-ylmethyl)azanium,4.3,115,2,6,8,36,807
CC(/C=C(/C)\C=C(\C)/CSC)C(=O)N1CCCC1,C15H25NOS,267.4,"(3Z,5Z)-2,4,6-trimethyl-7-methylsulfanyl-1-pyrrolidin-1-ylhepta-3,5-dien-1-one",3.7,45.6,0,2,5,18,340
[B-](F)(F)(F)F.C[CH-]C(C)[NH2+]CC1=CC=CC=C1.[C-]#[O+].[C-]#[O+].[CH-]1C=CC=C1.[Fe],C18H22BF4FeNO2-2,427,"benzyl(butan-2-yl)azanium;carbon monoxide;cyclopenta-1,3-diene;iron;tetrafluoroborate",,18.6,1,9,4,27,146
CCCC(CCC)(C(=NC)C)O.[Lu],C10H21LuNO,346.25,"4-(C,N-dimethylcarbonimidoyl)heptan-4-ol;lutetium",,32.6,1,2,5,13,151
CC[C@@H](C(=O)C1=NC2=CC=CC=C2O1)NC(=O)[C@H](CS(=O)(=O)CC(C)C)NC(=O)N3CCOCC3,C23H32N4O7S,508.6,"N-[(2R)-1-[[(2S)-1-(1,3-benzoxazol-2-yl)-1-oxobutan-2-yl]amino]-3-(2-methylpropylsulfonyl)-1-oxopropan-2-yl]morpholine-4-carboxamide",1.8,156,2,8,10,35,854
C[CH2].N,C2H8N,46.09,,,1,1,1,0,3,0
C1CNC2C(=C1)C3(C4=C(C5=CC=CC=C53)C6=C(C=C4)N(C7=CC=CC=C76)C8=CC=C(C=C8)C9=CC=C(C=C9)N1C3=C(C4=CC=CC=C41)C1=C(C=C3)C3(C4=C(C5=CC=CC=C53)N=CC=C4)C3=CC=CC=C31)C1=CC=CC=C21,C72H46N4,967.2,"9-[4-(4-spiro[1,2,3,9b-tetrahydroindeno[1,2-b]pyridine-5,14'-9-azapentacyclo[11.7.0.02,10.03,8.015,20]icosa-1(13),2(10),3,5,7,11,15,17,19-nonaene]-9'-ylphenyl)phenyl]spiro[9-azapentacyclo[11.7.0.02,10.03,8.015,20]icosa-1(13),2(10),3,5,7,11,15,17,19-nonaene-14,5'-indeno[1,2-b]pyridine]",15.8,34.8,1,2,3,76,2170
CC1=C(SC=C1)C2=NC3=C(N2C(C)(C)C)C=CC(=C3)C#N,C17H17N3S,295.4,1-tert-butyl-2-(3-methylthiophen-2-yl)benzimidazole-5-carbonitrile,3.8,69.9,0,3,2,21,435
COC(C1=CC=CC=C1)C(=O)NN=CC2=CC3=CC=CC=C3N=C2Cl,C19H16ClN3O2,353.8,N-[(2-chloroquinolin-3-yl)methylideneamino]-2-methoxy-2-phenylacetamide,4,63.6,1,4,5,25,468
C[C@H]1CCC2=C(C1)SC3=C2C(=O)N(C=N3)CC(=O)N/N=C/C4=CC(=C(C=C4)OC)Br,C21H21BrN4O3S,489.4,"N-[(E)-(3-bromo-4-methoxyphenyl)methylideneamino]-2-[(7S)-7-methyl-4-oxo-5,6,7,8-tetrahydro-[1]benzothiolo[2,3-d]pyrimidin-3-yl]acetamide",4.2,112,1,6,5,30,720
CCCCCCCN1CCC=CC1CN,C13H26N2,210.36,"(1-heptyl-3,6-dihydro-2H-pyridin-6-yl)methanamine",2.9,29.3,1,2,7,15,177
C1CCN(C1)C2=[NH+]C=CC(=C2)CNC(=O)C3=CC4=C(S3)N=C5N4C=CS5,C18H18N5OS2+,384.5,"N-[(2-pyrrolidin-1-ylpyridin-1-ium-4-yl)methyl]-5,9-dithia-1,7-diazatricyclo[6.3.0.02,6]undeca-2(6),3,7,10-tetraene-4-carboxamide",4.5,120,2,5,4,26,532
CCCCN(C(C)CC)C(=O)C1=C(C=C(C=C1)Br)Br,C15H21Br2NO,391.14,"2,4-dibromo-N-butan-2-yl-N-butylbenzamide",5.3,20.3,0,1,6,19,285
CC1=CC=CC=C1CCNC(=O)NCC2(CCOCC2)C3=CC4=C(C=C3)OCO4,C23H28N2O4,396.5,"1-[[4-(1,3-benzodioxol-5-yl)oxan-4-yl]methyl]-3-[2-(2-methylphenyl)ethyl]urea",3.6,68.8,2,4,6,29,537
CO[C@@H]1CCC[C@@]12CCCN(C2)C(=O)C3=C(C=CC(=C3)C(F)(F)F)Cl,C18H21ClF3NO2,375.8,"[2-chloro-5-(trifluoromethyl)phenyl]-[(4R,5S)-4-methoxy-7-azaspiro[4.5]decan-7-yl]methanone",4.3,29.5,0,5,2,25,501
CCOC(=O)C1(CCC(CC1)NS(=O)(=O)C2=CC=C(C=C2)N3CC=NC=C3)/C=C/C,C22H29N3O4S,431.6,ethyl 1-[(E)-prop-1-enyl]-4-[[4-(2H-pyrazin-1-yl)phenyl]sulfonylamino]cyclohexane-1-carboxylate,2.8,96.5,1,7,8,30,769
CC(C)OC(=O)C(C(C(C(=O)OCCOC(=O)C(C)(C)C)(F)F)(F)F)(F)F,C15H20F6O6,410.31,"1-O-[2-(2,2-dimethylpropanoyloxy)ethyl] 5-O-propan-2-yl 2,2,3,3,4,4-hexafluoropentanedioate",4.1,78.9,0,12,12,27,568
CCC/C(=C\C1=CC=C(C=C1)OCC2=CC=CC=C2)/C(=O)OCC,C21H24O3,324.4,ethyl (2E)-2-[(4-phenylmethoxyphenyl)methylidene]pentanoate,5.4,35.5,0,3,9,24,388
CC(C)S(=O)(=O)C1=CC=C(C=C1)CC(=O)N2CC[C@H](SCC2)C3=CC=CC=C3F,C22H26FNO3S2,435.6,"1-[(7S)-7-(2-fluorophenyl)-1,4-thiazepan-4-yl]-2-(4-propan-2-ylsulfonylphenyl)ethanone",3.8,88.1,0,5,5,29,641
C1CC(CCC1N)NC(=O)C2=C(C(=CC(=C2)[N+](=O)[O-])Cl)Cl,C13H15Cl2N3O3,332.18,"N-(4-aminocyclohexyl)-2,3-dichloro-5-nitrobenzamide",2.7,101,2,4,2,21,397
CN1CCCC(C1)CC2=NC=C3N2C(=CC=C3)C=O,C15H19N3O,257.33,"3-[(1-methylpiperidin-3-yl)methyl]imidazo[1,5-a]pyridine-5-carbaldehyde",2.7,37.6,0,3,3,19,323
CCC1=C(C2=CC=CC=C2O1)C(=O)OC3=CC=C(C=C3)O[C@H]4CCNC4,C21H21NO4,351.4,[4-[(3S)-pyrrolidin-3-yl]oxyphenyl] 2-ethyl-1-benzofuran-3-carboxylate,4.3,60.7,1,5,6,26,477
CCOC(=O)C(CCCN=C(N)N)OC1=C(C(=NC(=C1F)OC2=CC(=C(N)N)C=CC2=O)OC3=CC=CC(=C3)C4=NCCN4C)F,C30H34F2N8O6,640.6,"ethyl 5-(diaminomethylideneamino)-2-[[2-[3-(diaminomethylidene)-6-oxocyclohexa-1,4-dien-1-yl]oxy-3,5-difluoro-6-[3-(1-methyl-4,5-dihydroimidazol-2-yl)phenoxy]-4-pyridinyl]oxy]pentanoate",1.4,216,4,13,14,46,1250
CCCCCCN1C2=C(C3=NC4=CC=CC=C4N=C31)C(=O)N(C=N2)CC5=CC=CC=C5Cl,C25H24ClN5O,445.9,"13-[(2-chlorophenyl)methyl]-17-hexyl-2,9,13,15,17-pentazatetracyclo[8.7.0.03,8.011,16]heptadeca-1,3,5,7,9,11(16),14-heptaen-12-one",5.4,63.4,0,4,7,32,689
CCOC1=CC=CC(=C1)NC2=C3C4=C(CN(CC4)C(=O)/C=C/CN(C)C)SC3=NC=N2,C23H27N5O2S,437.6,"(E)-4-(dimethylamino)-1-[3-(3-ethoxyanilino)-8-thia-4,6,11-triazatricyclo[7.4.0.02,7]trideca-1(9),2,4,6-tetraen-11-yl]but-2-en-1-one",3.4,98.8,1,7,7,31,633
CN(C[C@H]1CCCN(C1)CCC2=CC=C(C=C2)F)CC3=CN(N=C3)C4=CC=CC=C4,C25H31FN4,406.5,1-[(3R)-1-[2-(4-fluorophenyl)ethyl]piperidin-3-yl]-N-methyl-N-[(1-phenylpyrazol-4-yl)methyl]methanamine,4.6,24.3,0,4,8,30,490
CCCCCCCCCCCCCCCCCCOC(=O)CN(O)O,C20H41NO4,359.5,octadecyl 2-(dihydroxyamino)acetate,7.9,70,2,5,20,25,285
CC1(OCC(CO1)(CCCC2=C(C=C(C=C2)SC3=CC=CC(=C3)C(C)(C)C)Cl)NC(=O)OC(C)(C)C)C.C[Si](=O)C,C32H48ClNO5SSi,622.3,"tert-butyl N-[5-[3-[4-(3-tert-butylphenyl)sulfanyl-2-chlorophenyl]propyl]-2,2-dimethyl-1,3-dioxan-5-yl]carbamate;dimethyl(oxo)silane",,99.2,1,6,10,41,766
C1=CC=C(C=C1)[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C(/C=C/C4=CC(=CC=C4)F)C5=CC(=CC=C5)F,C33H26F2P+,491.5,"[(E)-1,3-bis(3-fluorophenyl)prop-2-enyl]-triphenylphosphanium",8.7,0,0,2,7,36,628
CC.COC1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=C(C=C3)OC)OCC(CO)OCC#C,C29H34O5,462.6,3-[bis(4-methoxyphenyl)-phenylmethoxy]-2-prop-2-ynoxypropan-1-ol;ethane,,57.2,1,5,11,34,538
C1C[C@@H](N(C1)C(=O)C23CC4CC(C2)CC(C4)C3)C(=O)NCCCOC5=CC=C(C=C5)F,C25H33FN2O3,428.5,(2R)-1-(adamantane-1-carbonyl)-N-[3-(4-fluorophenoxy)propyl]pyrrolidine-2-carboxamide,4.3,58.6,1,4,7,31,634
C1CC1[C@@H](C(=O)N2CC(C2)C#N)NC(=O)C3=CNC4=NC=C(N=C34)N5CC6=C(C5=O)C=CC=C6Cl,C24H20ClN7O3,489.9,"2-(7-chloro-3-oxo-1H-isoindol-2-yl)-N-[(1S)-2-(3-cyanoazetidin-1-yl)-1-cyclopropyl-2-oxoethyl]-5H-pyrrolo[2,3-b]pyrazine-7-carboxamide",1,135,2,6,5,35,945
CC1(C(C1(C)C)CNC2=CC=CC3=NC=CN32)C,C15H21N3,243.35,"N-[(2,2,3,3-tetramethylcyclopropyl)methyl]imidazo[1,2-a]pyridin-5-amine",4.5,29.3,1,2,3,18,310
CC1=NN(C(=C1)C(=O)C2=C(C=CC(=C2)OC)OC)C,C14H16N2O3,260.29,"(2,5-dimethoxyphenyl)-(2,5-dimethylpyrazol-3-yl)methanone",2.3,53.4,0,4,4,19,324
C[C@@H](C(=O)N1CCC[C@@](C1)(C)C(=O)O)N2C=CC=N2,C13H19N3O3,265.31,(3R)-3-methyl-1-[(2S)-2-pyrazol-1-ylpropanoyl]piperidine-3-carboxylic acid,0.6,75.4,1,4,3,19,374
CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C(C)OC(=O)C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C,C36H38N4O6,622.7,"3-[8-(1-acetyloxyethyl)-18-(2-carboxyethyl)-13-ethenyl-3,7,12,17-tetramethyl-22,23-dihydroporphyrin-2-yl]propanoic acid",3.9,158,4,8,10,46,1120
C/C=C\C=C/C.CC(=NC(=NC(=C)C1=CC=CC2=C1SC3=CC=CC=C23)C)C4=CC=CC=C4,C30H30N2S,450.6,"N'-(1-dibenzothiophen-4-ylethenyl)-N-(1-phenylethylidene)ethanimidamide;(2Z,4Z)-hexa-2,4-diene",,53,0,2,5,33,650
CC1=C2C(=NC=C1)N(C(=N2)SCC(=O)O)CCOC,C12H15N3O3S,281.33,"2-[3-(2-methoxyethyl)-7-methylimidazo[4,5-b]pyridin-2-yl]sulfanylacetic acid",1.3,103,1,6,6,19,319
CC(C)C(C1=NC(=NO1)C2=CN=CC=C2)NC(=O)CCC3=NC(=NO3)C4=CC=CS4,C20H20N6O3S,424.5,"N-[2-methyl-1-(3-pyridin-3-yl-1,2,4-oxadiazol-5-yl)propyl]-3-(3-thiophen-2-yl-1,2,4-oxadiazol-5-yl)propanamide",2.8,148,1,9,8,30,571
CC(=O)C(O)O.OP(=O)(O)O.OP(=O)(O)OP(=O)(O)O,C3H13O14P3,366.05,"1,1-dihydroxypropan-2-one;phosphono dihydrogen phosphate;phosphoric acid",,260,9,14,3,20,254
C1CCC(C1)C2=NC3=C(N2)C4=C(C=C(C=C4)Br)C5=C3C=CNC5=O,C19H16BrN3O,382.3,"15-bromo-4-cyclopentyl-3,5,10-triazatetracyclo[11.4.0.02,6.07,12]heptadeca-1(13),2(6),4,7(12),8,14,16-heptaen-11-one",4.5,57.8,2,2,1,24,547
COCCNCC1=CC(=C(C=C1)[N+](=O)[O-])OCC(=O)N,C12H17N3O5,283.28,2-[5-[(2-methoxyethylamino)methyl]-2-nitrophenoxy]acetamide,-0.1,119,2,6,8,20,321
CC(C)(CO)C1=C(C=C(C=C1)C(=O)N2CC[C@]3([C@@H](C2)OCO3)C4=CC=CC=C4)OC,C24H29NO5,411.5,"[(3aR,7aR)-7a-phenyl-3a,4,6,7-tetrahydro-[1,3]dioxolo[4,5-c]pyridin-5-yl]-[4-(1-hydroxy-2-methylpropan-2-yl)-3-methoxyphenyl]methanone",2.9,68.2,1,5,5,30,604
CC1CC(C(CN1)C(=O)NC2NC3CN(CC3S2)C(=O)C4CCCC(N4)C(F)F)C5CC(NCC5OC(F)F)Cl,C25H39ClF4N6O3S,615.1,"4-[2-chloro-5-(difluoromethoxy)piperidin-4-yl]-N-[5-[6-(difluoromethyl)piperidine-2-carbonyl]-2,3,3a,4,6,6a-hexahydropyrrolo[3,4-d][1,3]thiazol-2-yl]-6-methylpiperidine-3-carboxamide",2.5,132,5,12,7,40,915
CN1C(=CN=N1)OCCC(=O)O,C6H9N3O3,171.15,3-(3-methyltriazol-4-yl)oxypropanoic acid,-0.5,77.2,1,5,4,12,164
CO[C@H]1[C@H](C([C@@H](OC1C(=O)[O-])OC)OS(=O)(=O)[O-])O,C8H12O10S-2,300.24,"(3S,4R,6R)-4-hydroxy-3,6-dimethoxy-5-sulfonatooxyoxane-2-carboxylate",-1.6,163,1,10,3,19,395
CC1=CC(=CC(=C1F)[C@@H](CC(=O)C(CC(C)C)N2C=C(C(=CC2=O)C)CCN(C)C)CC(=O)O)C3=C(C=C(C=C3C)Cl)C.S,C35H46ClFN2O4S,645.3,"(3S)-3-[5-(4-chloro-2,6-dimethylphenyl)-2-fluoro-3-methylphenyl]-6-[5-[2-(dimethylamino)ethyl]-4-methyl-2-oxo-1-pyridinyl]-8-methyl-5-oxononanoic acid;sulfane",,78.9,2,7,13,44,1050
[C]1=[C]C(=[C][C]=C1N)[As](SCC(=O)[O-])SCC(=O)[O-].[Na+].[Na+],C10H6AsNNa2O4S2,389.2,,,157,1,7,5,20,269
CC1=CC=CC=C1CN2CC[NH+](CC2)[C@H]3CC(=O)N(C3=O)C4=CC=C(C=C4)Cl,C22H25ClN3O2+,398.9,"(3S)-1-(4-chlorophenyl)-3-[4-[(2-methylphenyl)methyl]piperazin-1-ium-1-yl]pyrrolidine-2,5-dione",3.2,45.1,1,3,4,28,570
CC(=O)OCCCC1(OCCO1)C,C9H16O4,188.22,"3-(2-methyl-1,3-dioxolan-2-yl)propyl acetate",0.7,44.8,0,4,5,13,172
CCN(CC)CCC(CC1=CC(=CC=C1)OC)N,C15H26N2O,250.38,"1-N,1-N-diethyl-4-(3-methoxyphenyl)butane-1,3-diamine",2.4,38.5,1,3,8,18,207
CC(C)C[C@@H](C(=O)O[C@@H](C1=CC=C(C=C1)F)C(=O)N)N2C(=O)[C@@H]3CC=CC[C@@H]3C2=O,C22H25FN2O5,416.4,"[(1S)-2-amino-1-(4-fluorophenyl)-2-oxoethyl] (2S)-2-[(3aR,7aS)-1,3-dioxo-3a,4,7,7a-tetrahydroisoindol-2-yl]-4-methylpentanoate",2.8,107,1,6,8,30,703
C1=CSC=CC2(C1=CN=C2)O,C8H7NOS,165.21,"thiepino[4,5-c]pyrrol-3a-ol",-0.1,57.9,1,3,0,11,290
C=CC=CC(=C)[NH3+],C6H10N+,96.15,"hexa-1,3,5-trien-2-ylazanium",1.6,27.6,1,0,2,7,101
CCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCCC)COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,C65H116O6,993.6,"[(2R)-2-henicosanoyloxy-3-[(Z)-nonadec-9-enoyl]oxypropyl] (7Z,10Z,13Z,16Z)-docosa-7,10,13,16-tetraenoate",25.6,78.9,0,6,59,71,1280
COC1=CC2=NC=CC(=C2C=C1)OC3=CC=C(C=C3)S(=N)(=O)NCC(CO)O,C19H21N3O5S,403.5,"3-[[[4-(7-methoxyquinolin-4-yl)oxyphenyl]sulfonimidoyl]amino]propane-1,2-diol",2.7,133,4,8,8,28,592
CC(C1=CC(=CC=C1)OC2=CC(=CC=C2)F)C(=O)NCCNC(=C)C3=CC=CC=C3,C25H25FN2O2,404.5,2-[3-(3-fluorophenoxy)phenyl]-N-[2-(1-phenylethenylamino)ethyl]propanamide,5.6,50.4,2,4,9,30,549
C1=CC=C2C(=C1)C=C(N2)C3=C(C(=S)C(=CN3)Cl)N=[N+]=[N-],C13H8ClN5S,301.75,3-azido-5-chloro-2-(1H-indol-2-yl)-1H-pyridine-4-thione,4.5,74.3,2,4,2,20,549
CC1=C[C@H]([C@@H](C[C@H]1CC2=NN=C(O2)C3=CC=NC=C3)C(C)C)C[NH+]4CCN(CC4)C,C24H36N5O+,410.6,"2-[[(1S,4S,5S)-2-methyl-4-[(4-methylpiperazin-1-ium-1-yl)methyl]-5-propan-2-ylcyclohex-2-en-1-yl]methyl]-5-pyridin-4-yl-1,3,4-oxadiazole",3.3,59.5,1,5,6,30,568
[2H]C1=C(C(=C(C(=C1[2H])[2H])C2=C3C=CC4=CC=CC=C4C3=C(C5=CC=CC=C52)C6=C7C=CC8=CC=CC9=C8C7=C(C=C9)C=C6)[2H])[2H],C40H24,509.6,"7-(2,3,4,5,6-pentadeuteriophenyl)-12-pyren-1-ylbenzo[a]anthracene",12,0,0,0,2,40,882
CCC1=CC=C(C=C1)[C@@H](CNC2=C(C(=O)N(N=C2)C3=CC=CC=C3C(=O)OC)Cl)N(C)C,C24H27ClN4O3,454.9,methyl 2-[5-chloro-4-[[(2S)-2-(dimethylamino)-2-(4-ethylphenyl)ethyl]amino]-6-oxopyridazin-1-yl]benzoate,4.3,74.2,1,6,9,32,731
CC(C)(C)C(C1=CC=CS1)NC(=O)COCCC=C,C15H23NO2S,281.4,"2-but-3-enoxy-N-(2,2-dimethyl-1-thiophen-2-ylpropyl)acetamide",3.5,66.6,1,3,8,19,299
C1=CC=C(C(=C1)C(C2C=CC3=C(O2)C=CC(=C3)F)N=[N+]=[N-])Cl,C16H11ClFN3O,315.73,2-[azido-(2-chlorophenyl)methyl]-6-fluoro-2H-chromene,5.6,23.6,0,4,3,22,468
CC(C)CC(CO)NS(=O)(=O)C1=C(C=C(C=C1)C(=O)N)N,C13H21N3O4S,315.39,3-amino-4-[(1-hydroxy-4-methylpentan-2-yl)sulfamoyl]benzamide,0.7,144,4,6,7,21,447
CC1=C2C(=CC=C1)C(=CN2)CCN=C(N)NC3CCCCC3.I,C18H27IN4,426.3,1-cyclohexyl-2-[2-(7-methyl-1H-indol-3-yl)ethyl]guanidine;hydroiodide,,66.2,4,1,5,23,375
CCNCC1=CC=CC(=C1C)C,C11H17N,163.26,"N-[(2,3-dimethylphenyl)methyl]ethanamine",2.4,12,1,1,3,12,122
CC1=C(C(=CC=C1)NC(=O)[C@@H](C)OC(=O)/C=C/C2=CC(=C(C=C2)OC(C)C)OC)C,C24H29NO5,411.5,"[(2R)-1-(2,3-dimethylanilino)-1-oxopropan-2-yl] (E)-3-(3-methoxy-4-propan-2-yloxyphenyl)prop-2-enoate",5,73.9,1,5,9,30,590
C[C@@]12CC[C@@H](C1)CCC2=O,C9H14O,138.21,"(1R,5R)-1-methylbicyclo[3.2.1]octan-2-one",1.7,17.1,0,1,0,10,174
CCN1CCCC1C(=O)N2CCC(CC2)C3C(CNN3)C4=CC(=CC=C4)F,C21H31FN4O,374.5,(1-ethylpyrrolidin-2-yl)-[4-[4-(3-fluorophenyl)pyrazolidin-3-yl]piperidin-1-yl]methanone,2.5,47.6,2,5,4,27,510
CC(C)C1=CC=CC=C1[C@H](C2=CC=NC=C2)N,C15H18N2,226.32,(S)-(2-propan-2-ylphenyl)-pyridin-4-ylmethanamine,2.5,38.9,1,2,3,17,221
C[C@H]1[C@H](CCCO1)C(=O)N(C)CC2=CC=C(C=C2)C(=O)NC,C17H24N2O3,304.4,"(2S,3S)-N,2-dimethyl-N-[[4-(methylcarbamoyl)phenyl]methyl]oxane-3-carboxamide",1.2,58.6,1,3,4,22,391
COC1=C(C=C(C=C1)Br)/C=C/C(=O)C2=CC=C(S2)C(=O)[O-],C15H10BrO4S-,366.2,5-[(E)-3-(5-bromo-2-methoxyphenyl)prop-2-enoyl]thiophene-2-carboxylate,4.9,94.7,0,5,4,21,420
