SMILES,MolecularFormula,MolecularWeight,IUPACName,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Complexity
C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C,C27H46O,386.7,"(3S,5S,9R,10S,13R,14R,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,5,6,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",8.3,20.2,1,1,5,28,591
C[C@H](CCC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)CO,C27H46O2,402.7,"(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,6R)-7-hydroxy-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",7.1,40.5,2,2,6,29,612
C/C=C(/CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)\C(C)C,C29H48O,412.7,"(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(Z,2R)-5-propan-2-ylhept-5-en-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",8.9,20.2,1,1,5,30,686
C[C@H](CCC=C(C)C)[C@H]1CC[C@@H]2[C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C,C27H44O,384.6,"(3S,5S,10S,13R,14R,17R)-10,13-dimethyl-17-[(2R)-6-methylhept-5-en-2-yl]-2,3,4,5,6,7,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",7.5,20.2,1,1,4,28,653
C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)[C@@H](CCC(C)C)O,C27H46O2,402.7,"(3S,8S,9S,10R,13S,14S,17R)-17-[(2S,3R)-3-hydroxy-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",7,40.5,2,2,5,29,624
CC[C@H](CC[C@@H](C)[C@H]1CCC2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,C29H50O,414.7,"(3S,8S,9S,10R,13R,17R)-17-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",9.3,20.2,1,1,6,30,634
CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,C29H48O,412.7,"(3S,5S,9R,10S,13R,14R,17R)-17-[(E,2R,5S)-5-ethyl-6-methylhept-3-en-2-yl]-10,13-dimethyl-2,3,4,5,6,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",8.3,20.2,1,1,5,30,674
C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CCC3=C2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,C27H44O,384.6,"(3S,10S,13R,14R,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol",7.4,20.2,1,1,5,28,655
C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@H](C4)O)C)C,C27H46O,386.7,"(3R,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",8.7,20.2,1,1,5,28,591
CC[C@@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,C29H50O,414.7,"(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5S)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",9.3,20.2,1,1,6,30,634
CC(C)CCC[C@@](C)([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)O,C27H46O2,402.7,"(3S,8S,9S,10R,13S,14S,17S)-17-[(2S)-2-hydroxy-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",6.9,40.5,2,2,5,29,638
CC(C)CCC[C@](C)([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)O,C27H46O2,402.7,"(3S,8S,9S,10R,13S,14S,17S)-17-[(2R)-2-hydroxy-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",6.9,40.5,2,2,5,29,638
C[C@H](CCCC(C)CO)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C=C4[C@@]3(CC[C@@H](C4)O)C)O)C,C27H46O3,418.7,"(3S,7S,8S,9S,10R,13R,14S,17R)-17-[(2R)-7-hydroxy-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3,7-diol",6,60.7,3,3,6,30,644
C[C@H](CCCC(C)CO)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,C27H46O2,402.7,"(3S,8S,9S,10R,13R,14S,17R)-17-[(2R)-7-hydroxy-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",7.1,40.5,2,2,6,29,612
C[C@H](CCC=C(C)C)[C@@H]1CC[C@]2([C@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C,C30H50O,426.7,"(3S,5R,10S,13S,14S,17S)-4,4,10,13,14-pentamethyl-17-[(2R)-6-methylhept-5-en-2-yl]-2,3,5,6,7,11,12,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol",8.9,20.2,1,1,4,31,767
C1=CC=C2C(=C1)C=CC(=O)O2,C9H6O2,146.14,chromen-2-one,1.4,26.3,0,2,0,11,196
C1=CC=C2C(=C1)C(=CC(=O)O2)O,C9H6O3,162.14,4-hydroxychromen-2-one,1.3,46.5,1,3,0,12,232
CC1=CC2=C(C=C1)OC(=O)C=C2,C10H8O2,160.17,6-methylchromen-2-one,1.8,26.3,0,2,0,12,220
C1=CC=C2C(=C1)C=C(C(=O)O2)O,C9H6O3,162.14,3-hydroxychromen-2-one,1.8,46.5,1,3,0,12,232
CC1=CC=CC=C1OC(=O)C,C9H10O2,150.17,(2-methylphenyl) acetate,1.6,26.3,0,2,2,11,142
C1=CC=C2C(=C1)C=C(C(=O)O2)C(=O)O,C10H6O4,190.15,2-oxochromene-3-carboxylic acid,2.2,63.6,1,4,1,14,305
CC1=CC(=O)OC2=CC=CC=C12,C10H8O2,160.17,4-methylchromen-2-one,2.3,26.3,0,2,0,12,230
CC1=CC2=CC=CC=C2OC1=O,C10H8O2,160.17,3-methylchromen-2-one,2.3,26.3,0,2,0,12,230
CC1=CC=CC=C1OC(=O)C(C)C,C11H14O2,178.23,(2-methylphenyl) 2-methylpropanoate,2.7,26.3,0,2,3,13,175
CC1=CC2=C(C=C1)C=CC(=O)O2,C10H8O2,160.17,7-methylchromen-2-one,1.8,26.3,0,2,0,12,220
COC1=CC2=C(C=C1)OC(=O)C=C2,C10H8O3,176.17,6-methoxychromen-2-one,1.4,35.5,0,3,1,13,234
CC(=O)C1=CC2=CC=CC=C2OC1=O,C11H8O3,188.18,3-acetylchromen-2-one,1.8,43.4,0,3,1,14,304
C=CCOC1=CC(=O)OC2=CC=CC=C21,C12H10O3,202.21,4-prop-2-enoxychromen-2-one,2.2,35.5,0,3,3,15,293
C1=CC=C2C(=C1)C=C(C(=O)O2)C#N,C10H5NO2,171.15,2-oxochromene-3-carbonitrile,1.8,50.1,0,3,0,13,310
CCOC(=O)C1=CC2=CC=CC=C2OC1=O,C12H10O4,218.2,ethyl 2-oxochromene-3-carboxylate,2.3,52.6,0,4,3,16,332
COC(=O)C1=CC2=CC=CC=C2OC1=O,C11H8O4,204.18,methyl 2-oxochromene-3-carboxylate,2,52.6,0,4,2,15,319
C=CCOC1=CC=CC=C1/C=C/C(=O)O,C12H12O3,204.22,(E)-3-(2-prop-2-enoxyphenyl)prop-2-enoic acid,2.5,46.5,1,3,5,15,245
CC(=O)OC1=CC2=C(C=C1)OC(=O)C=C2,C11H8O4,204.18,(2-oxochromen-6-yl) acetate,1.1,52.6,0,4,2,15,308
CC1=CC=C(C=C1)OC(=O)C=C(C)C,C12H14O2,190.24,(4-methylphenyl) 3-methylbut-2-enoate,3.6,26.3,0,2,3,14,218
CCCOC(=O)C1=CC2=CC=CC=C2OC1=O,C13H12O4,232.23,propyl 2-oxochromene-3-carboxylate,2.9,52.6,0,4,4,17,345
CC1=CC2=C(C=C1)OC(=O)C=C2C,C11H10O2,174.2,"4,6-dimethylchromen-2-one",2.2,26.3,0,2,0,13,255
C1=CC=C2C(=C1)C=C(C(=O)O2)Cl,C9H5ClO2,180.59,3-chlorochromen-2-one,2.7,26.3,0,2,0,12,235
C1=CC=C(C=C1)/C=C/C(=O)OC2=CC=CC=C2,C15H12O2,224.25,phenyl (E)-3-phenylprop-2-enoate,3.8,26.3,0,2,4,17,258
C1=CC=C2C(=C1)C(=CC(=O)O2)Cl,C9H5ClO2,180.59,4-chlorochromen-2-one,2.3,26.3,0,2,0,12,235
